region_name,nodes,edges,edge_node_ratio
35702.com,12,13,1.0833333333333333
alshawkany.net,19,22,1.1578947368421053
85am.com,4,4,1.0
cipfg.com,15,16,1.0666666666666667
bgcnc.com,12,13,1.0833333333333333
29smm.com,14,14,1.0
c1160.cn,5,4,0.8
angionet.org,12,13,1.0833333333333333
700x23.org,29,36,1.2413793103448276
blogofsport.info,17,16,0.9411764705882353
bikok.com,15,16,1.0666666666666667
chairslivingroom.com,12,13,1.0833333333333333
altareshfamily.com,13,12,0.9230769230769231
alcc.org,21,21,1.0
aupr.com,12,13,1.0833333333333333
80035.net,12,13,1.0833333333333333
callessen.com,15,15,1.0
ascregistry.org,13,12,0.9230769230769231
ad-get.com,22,21,0.9545454545454546
alone-themovie.com,19,18,0.9473684210526315
atech.biz,17,16,0.9411764705882353
369jp.com,5,4,0.8
bowdontreeservice.com,11,10,0.9090909090909091
bjzyyt.net,6,5,0.8333333333333334
articlebarge.com,14,13,0.9285714285714286
classbooks.net,12,13,1.0833333333333333
bizerte.org,15,16,1.0666666666666667
atronomia.com,14,15,1.0714285714285714
clubcode.com,12,13,1.0833333333333333
backhuhn.de,17,18,1.0588235294117647
closp.com,10,9,0.9
arkitecto.com,17,16,0.9411764705882353
586hj.com,11,10,0.9090909090909091
7qw.com,8,7,0.875
cashforlaptops.biz,22,27,1.2272727272727273
bigrussiansoul.org,15,16,1.0666666666666667
566sq.com,15,14,0.9333333333333333
69445.com,12,13,1.0833333333333333
cant-find-me.com,14,15,1.0714285714285714
4emo.com,20,23,1.15
ahdnsy.com,5,4,0.8
columbiana.net,14,15,1.0714285714285714
3gpba.com,13,12,0.9230769230769231
banml.com,14,14,1.0
71aaa.com,14,13,0.9285714285714286
biorust.org,18,17,0.9444444444444444
cabinmatch.com,17,16,0.9411764705882353
bafelo.de,12,13,1.0833333333333333
222222222.com,12,13,1.0833333333333333
chessfidelity.com,12,13,1.0833333333333333
08jh.com,14,13,0.9285714285714286
canhub.com,12,13,1.0833333333333333
bobbyjoe.org,18,17,0.9444444444444444
523y.com,12,11,0.9166666666666666
angaron.com,17,16,0.9411764705882353
72kb.com,13,12,0.9230769230769231
1app.de,14,15,1.0714285714285714
berukkk.com,20,23,1.15
berryhilldrip.com,18,17,0.9444444444444444
ash3ar.com,13,12,0.9230769230769231
8afmuseum.net,13,12,0.9230769230769231
chockalate.com,13,14,1.0769230769230769
clouster.com,14,15,1.0714285714285714
adisutjipto-airport.com,18,19,1.0555555555555556
alertpay-global.com,15,16,1.0666666666666667
1belong.eu,12,13,1.0833333333333333
bjlmd.com,13,12,0.9230769230769231
artbizu.pl,17,19,1.1176470588235294
autogallerycars.com,17,16,0.9411764705882353
alain-flaig.ch,17,19,1.1176470588235294
afghanhost.org,24,26,1.0833333333333333
al9ada.com,17,16,0.9411764705882353
4cadet.org,14,15,1.0714285714285714
anpool.com,11,10,0.9090909090909091
333bo.net,12,12,1.0
brelli.com,10,9,0.9
cheapestdomainregistrations.org,14,15,1.0714285714285714
cashloans180.com,17,16,0.9411764705882353
cheffromhell.com,21,20,0.9523809523809523
3kajans.com,24,26,1.0833333333333333
1fdgo.com,12,11,0.9166666666666666
chikchirik.de,15,14,0.9333333333333333
bestaffiliateproducts.com,19,20,1.0526315789473684
awesomeperson.org,13,12,0.9230769230769231
calculators.pro,12,13,1.0833333333333333
42cap.net,14,15,1.0714285714285714
4ydo.net,18,18,1.0
cie.de,13,14,1.0769230769230769
alternations.de,14,13,0.9285714285714286
cc5354.com,17,19,1.1176470588235294
brandononline.net,14,13,0.9285714285714286
8626.info,25,29,1.16
4hamsters.com,15,16,1.0666666666666667
04214.com,14,15,1.0714285714285714
bskilled.net,14,13,0.9285714285714286
c1326.cn,5,4,0.8
cbsmmw.com,5,4,0.8
animekeys.com,14,13,0.9285714285714286
child-prodigy.com,13,14,1.0769230769230769
aitsensor.com,12,13,1.0833333333333333
alton.eu,12,13,1.0833333333333333
bleumagic.com,17,16,0.9411764705882353
4servers.net,25,27,1.08
28939.com,14,15,1.0714285714285714
aywana.com,16,17,1.0625
balancity.de,13,14,1.0769230769230769
boltamarson.com,16,18,1.125
bajasae.org,16,15,0.9375
aghareed.net,13,14,1.0769230769230769
c-nic.com,15,16,1.0666666666666667
aletm.com,16,17,1.0625
555js.com,12,13,1.0833333333333333
aspenco.org,12,13,1.0833333333333333
benny75.com,20,20,1.0
